Heure,Opération,Symbole,Type,Direction,Volume,Prix,Ordre,Commission,Echange,Profit,Solde,Commentaire
2018.01.05 21:15:00,3.0,US100V12018,sell,out,48.97,6638.97,3.0,0,0.0,665.01,100665.01,
2018.01.08 21:15:00,5.0,US100V12018,sell,out,48.0,6671.97,5.0,0,0.0,49.44,100714.45,
2018.01.09 19:04:35,7.0,US100V12018,buy,out,32.82,6694.97,7.0,0,0.0,-1007.57,99706.88,sl 6694.95
2018.01.10 16:07:38,9.0,US100V12018,buy,out,40.53,6634.8,9.0,0,0.0,-1.22,99705.66,sl 6634.77
2018.01.11 21:15:00,11.0,US100V12018,sell,out,60.24,6695.67,11.0,0,0.0,707.22,100412.88,
2018.01.12 21:15:00,13.0,US100V12018,sell,out,33.95,6747.07,13.0,0,0.0,798.84,101211.72,
2018.01.15 18:13:36,15.0,US100V12018,sell,out,130.76,6766.37,15.0,0,0.0,-1012.08,100199.64,sl 6766.37
2018.01.16 21:15:00,17.0,US100V12018,buy,out,22.83,6750.06,17.0,0,0.0,824.85,101024.49,
2018.01.17 21:15:00,19.0,US100V12018,sell,out,32.71,6820.37,19.0,0,0.0,1361.39,102385.88,
2018.01.18 17:19:38,21.0,US100V12018,buy,out,35.42,6814.91,21.0,0,0.0,-1025.05,101360.83,sl 6814.87
2018.01.19 16:27:38,23.0,US100V12018,buy,out,44.06,6821.73,23.0,0,0.0,-7.05,101353.78,sl 6821.57
2018.01.22 18:06:03,25.0,US100V12018,sell,out,47.45,6886.95,25.0,0,0.0,2027.06,103380.84,tp 6886.95
2018.01.23 21:15:00,27.0,US100V12018,sell,out,36.84,6952.57,27.0,0,0.0,8.84,103389.68,
2018.01.24 17:12:02,29.0,US100V12018,sell,out,38.7,6961.13,29.0,0,0.0,-1035.23,102354.45,sl 6961.17
2018.01.25 21:15:00,31.0,US100V12018,buy,out,19.45,6895.99,31.0,0,0.0,330.26,102684.71,
2018.01.26 21:15:00,33.0,US100V12018,sell,out,33.16,6999.94,33.0,0,0.0,1028.29,103713.0,
2018.01.29 19:07:37,35.0,US100V12018,buy,out,30.07,7009.95,35.0,0,0.0,-1039.52,102673.48,sl 7009.86
2018.01.30 21:15:00,37.0,US100V12018,sell,out,24.77,6932.57,37.0,0,0.0,-174.88,102498.6,
2018.01.31 19:23:00,39.0,US100V12018,buy,out,56.01,6961.07,39.0,0,0.0,0.0,102498.6,sl 6961.07
2018.02.01 19:52:38,41.0,US100V12018,sell,out,26.64,6939.02,41.0,0,0.0,-0.53,102498.07,sl 6939.04
2018.02.02 16:05:25,43.0,US100V12018,buy,out,15.53,6803.78,43.0,0,0.0,619.49,103117.56,
2018.02.02 16:37:29,44.0,US100V12018,buy,out,15.53,6843.8,44.0,0,0.0,-2.02,103115.54,sl 6843.67
2018.02.05 17:48:38,46.0,US100V12018,sell,out,16.43,6740.23,46.0,0,0.0,0.0,103115.54,sl 6740.23
2018.02.06 21:15:00,48.0,US100V12018,sell,out,5.38,6615.46,48.0,0,0.0,285.36,103400.9,
2018.02.07 17:55:27,50.0,US100V12018,sell,out,17.8,6681.87,50.0,0,0.0,-2.67,103398.23,sl 6682.02
2018.02.08 18:27:15,52.0,US100V12018,buy,out,18.79,6437.65,52.0,0,0.0,2067.09,105465.32,tp 6437.66
2018.02.09 18:27:24,54.0,US100V12018,buy,out,5.99,6223.5,54.0,0,0.0,632.9,106098.22,
