Heure,Opération,Symbole,Type,Direction,Volume,Prix,Ordre,Commission,Echange,Profit,Solde,Commentaire
2018.01.04 16:44:52,3.0,US30V12018,sell,out,10.39,25069.6,3.0,0,0.0,-2.39,99997.61,sl 25069.83
2018.01.05 21:06:26,5.0,US30V12018,sell,out,16.21,25232.0,5.0,0,0.0,999.67,100997.28,tp 25231.99
2018.01.08 19:22:39,7.0,US30V12018,buy,out,15.56,25303.15,7.0,0,0.0,-1011.09,99986.19,sl 25303.07
2018.01.09 19:28:17,9.0,US30V12018,sell,out,19.35,25424.01,9.0,0,0.0,1000.01,100986.2,tp 25423.99
2018.01.10 16:37:37,11.0,US30V12018,buy,out,18.52,25344.39,11.0,0,0.0,-1022.67,99963.53,sl 25343.67
2018.01.11 17:02:37,13.0,US30V12018,sell,out,8.04,25492.18,13.0,0,0.0,300.29,100263.82,
2018.01.11 18:33:33,14.0,US30V12018,sell,out,8.04,25517.16,14.0,0,0.0,501.13,100764.95,tp 25516.99
2018.01.12 18:42:15,16.0,US30V12018,sell,out,12.33,25739.17,16.0,0,0.0,-1.97,100762.98,sl 25739.33
2018.01.15 17:37:27,18.0,US30V12018,sell,out,39.26,25972.18,18.0,0,0.0,-1026.65,99736.33,sl 25972.67
2018.01.16 16:37:19,20.0,US30V12018,sell,out,11.57,25999.67,20.0,0,0.0,-1002.66,98733.67,sl 26000.17
2018.01.18 16:30:46,22.0,US30V12018,buy,out,12.2,26047.7,22.0,0,0.0,-0.37,98733.3,sl 26047.67
2018.01.19 17:19:37,24.0,US30V12018,buy,out,14.84,25985.13,24.0,0,0.0,-6.83,98726.47,sl 25984.67
2018.01.22 16:18:20,26.0,US30V12018,sell,out,6.61,26095.34,26.0,0,0.0,297.52,99023.99,
2018.01.22 17:00:03,27.0,US30V12018,sell,out,6.61,26050.29,27.0,0,0.0,-0.26,99023.73,sl 26050.33
2018.01.23 16:00:54,29.0,US30V12018,buy,out,25.39,26176.93,29.0,0,0.0,-6.6,99017.13,sl 26176.67
2018.01.24 16:16:24,31.0,US30V12018,sell,out,13.35,26367.79,31.0,0,0.0,-0.53,99016.6,sl 26367.83
2018.01.25 16:01:28,33.0,US30V12018,buy,out,12.77,26302.2,33.0,0,0.0,-0.38,99016.22,sl 26302.17
2018.01.26 16:55:21,35.0,US30V12018,sell,out,20.14,26472.7,35.0,0,0.0,-2.62,99013.6,sl 26472.83
2018.01.29 16:24:26,37.0,US30V12018,buy,out,17.84,26555.97,37.0,0,0.0,-5.35,99008.25,sl 26555.67
2018.01.30 16:27:27,39.0,US30V12018,buy,out,8.72,26145.68,39.0,0,0.0,-0.09,99008.16,sl 26145.67
2018.01.31 16:05:13,41.0,US30V12018,buy,out,8.68,26237.96,41.0,0,0.0,296.94,99305.1,
2018.01.31 16:07:41,42.0,US30V12018,buy,out,8.68,26272.33,42.0,0,0.0,-1.39,99303.71,sl 26272.17
2018.02.01 17:56:57,44.0,US30V12018,sell,out,7.45,26260.14,44.0,0,0.0,993.16,100296.87,tp 26260.09
2018.02.02 17:59:26,46.0,US30V12018,buy,out,10.55,25801.67,46.0,0,0.0,1007.53,101304.4,tp 25802.17
2018.02.05 16:32:02,48.0,US30V12018,sell,out,4.17,25411.3,48.0,0,0.0,-0.13,101304.27,sl 25411.33
2018.02.06 21:15:00,50.0,US30V12018,sell,out,1.33,24725.67,50.0,0,0.0,274.43,101578.7,
2018.02.07 17:31:28,52.0,US30V12018,sell,out,2.68,25150.32,52.0,0,0.0,-0.03,101578.67,sl 25150.33
2018.02.08 16:55:27,54.0,US30V12018,buy,out,2.08,24517.17,54.0,0,0.0,304.72,101883.39,
2018.02.08 18:21:36,55.0,US30V12018,buy,out,2.08,24419.12,55.0,0,0.0,508.66,102392.05,tp 24419.77
2018.02.09 16:48:53,57.0,US30V12018,buy,out,1.51,23663.52,57.0,0,0.0,306.76,102698.81,
2018.02.09 16:54:23,58.0,US30V12018,buy,out,1.51,23867.81,58.0,0,0.0,-1.72,102697.09,sl 23866.67
2018.02.12 17:56:33,60.0,US30V12018,buy,out,5.59,24541.72,60.0,0,0.0,-1026.04,101671.05,sl 24541.67
2018.02.13 20:09:01,62.0,US30V12018,sell,out,7.55,24682.27,62.0,0,0.0,1018.8,102689.85,tp 24681.99
2018.02.14 16:26:38,64.0,US30V12018,sell,out,6.19,24649.06,64.0,0,0.0,-1.67,102688.18,sl 24649.33
2018.02.15 17:04:39,66.0,US30V12018,buy,out,2.64,24810.7,66.0,0,0.0,308.8,102996.98,
2018.02.15 17:14:27,67.0,US30V12018,buy,out,2.64,24928.09,67.0,0,0.0,-1.11,102995.87,sl 24927.67
2018.02.16 18:52:17,69.0,US30V12018,sell,out,5.0,25348.24,69.0,0,0.0,-5.45,102990.42,sl 25349.33
2018.02.20 21:07:37,71.0,US30V12018,buy,out,6.91,24960.07,71.0,0,1.49,1033.74,104025.65,tp 24960.67
2018.02.21 20:00:31,73.0,US30V12018,buy,out,4.52,25156.83,73.0,0,0.98,-1044.84,102981.79,sl 25155.67
